SRZ187677_S0492.ffn	SRR5788076
SRZ187678_S0493.ffn	SRR5788073
SRZ187679_S0494.ffn	SRR5788074
SRZ187680_S0495.ffn	SRR5788079
SRZ187681_S0496.ffn	SRR5788080
SRZ187682_S0497.ffn	SRR5788077
SRZ187683_S0498.ffn	SRR5788078
SRZ187684_S0499.ffn	SRR5788071
SRZ187685_S0500.ffn	SRR5788072
SRZ187079_S0501.ffn	SRR5720299
SRZ187080_S0502.ffn	SRR5720300
SRZ187081_S0503.ffn	SRR5720301
SRZ187082_S0504.ffn	SRR5720302
SRZ187083_S0505.ffn	SRR5720303
SRZ187084_S0506.ffn	SRR5720304
SRZ187085_S0507.ffn	SRR5720305
SRZ187086_S0508.ffn	SRR5720306
SRZ187087_S0509.ffn	SRR5720297
SRZ187088_S0510.ffn	SRR5720298
SRZ187089_S0511.ffn	SRR5720225
SRZ187090_S0512.ffn	SRR5720226
SRZ187091_S0513.ffn	SRR5720227
SRZ187092_S0514.ffn	SRR5720228
SRZ187093_S0515.ffn	SRR5720221
SRZ187094_S0516.ffn	SRR5720222
SRZ187095_S0517.ffn	SRR5720223
SRZ187096_S0518.ffn	SRR5720224
SRZ187097_S0519.ffn	SRR5720219
SRZ187098_S0520.ffn	SRR5720220
SRZ187099_S0521.ffn	SRR5720242
SRZ187100_S0522.ffn	SRR5720241
SRZ187101_S0523.ffn	SRR5720244
SRZ187102_S0524.ffn	SRR5720243
SRZ187103_S0525.ffn	SRR5720246
SRZ187104_S0526.ffn	SRR5720245
SRZ187105_S0527.ffn	SRR5720248
SRZ187106_S0528.ffn	SRR5720247
SRZ187107_S0529.ffn	SRR5720240
SRZ187108_S0530.ffn	SRR5720239
SRZ187109_S0531.ffn	SRR5720269
SRZ187110_S0532.ffn	SRR5720270
SRZ187111_S0533.ffn	SRR5720267
SRZ187112_S0534.ffn	SRR5720268
SRZ187113_S0535.ffn	SRR5720273
SRZ187114_S0536.ffn	SRR5720274
SRZ187115_S0537.ffn	SRR5720271
SRZ187116_S0538.ffn	SRR5720272
SRZ187117_S0539.ffn	SRR5720265
SRZ187118_S0540.ffn	SRR5720266
SRZ187119_S0541.ffn	SRR5720296
SRZ187120_S0542.ffn	SRR5720295
SRZ187121_S0543.ffn	SRR5720294
SRZ187122_S0544.ffn	SRR5720293
SRZ187123_S0545.ffn	SRR5720292
SRZ187124_S0546.ffn	SRR5720291
SRZ187125_S0547.ffn	SRR5720290
SRZ187126_S0548.ffn	SRR5720289
SRZ187127_S0549.ffn	SRR5720288
SRZ187128_S0550.ffn	SRR5720287
SRZ187129_S0551.ffn	SRR5720310
SRZ187130_S0552.ffn	SRR5720311
SRZ187131_S0553.ffn	SRR5720312
SRZ187132_S0554.ffn	SRR5720313
SRZ187133_S0555.ffn	SRR5720314
SRZ187134_S0556.ffn	SRR5720315
SRZ187135_S0557.ffn	SRR5720316
SRZ187136_S0558.ffn	SRR5720317
SRZ187137_S0559.ffn	SRR5720308
SRZ187138_S0560.ffn	SRR5720309
SRZ187139_S0561.ffn	SRR5720329
SRZ187140_S0562.ffn	SRR5720328
SRZ187141_S0563.ffn	SRR5720331
SRZ187142_S0564.ffn	SRR5720330
SRZ187143_S0565.ffn	SRR5720325
SRZ187144_S0566.ffn	SRR5720324
SRZ187145_S0567.ffn	SRR5720327
SRZ187146_S0568.ffn	SRR5720326
SRZ187147_S0569.ffn	SRR5720333
SRZ187148_S0570.ffn	SRR5720332
SRZ187149_S0571.ffn	SRR5720340
SRZ187150_S0572.ffn	SRR5720341
SRZ187151_S0573.ffn	SRR5720338
SRZ187152_S0574.ffn	SRR5720339
SRZ187153_S0575.ffn	SRR5720336
SRZ187154_S0576.ffn	SRR5720337
SRZ187155_S0577.ffn	SRR5720334
SRZ187156_S0578.ffn	SRR5720335
SRZ187157_S0579.ffn	SRR5720342
SRZ187158_S0580.ffn	SRR5720343
SRZ187159_S0581.ffn	SRR5720234
