Run,Sample
ERR1726539,ERS493153
ERR1726874,ERS493814
ERR1726595,ERS493278
ERR1726796,ERS493686
ERR1726837,ERS493362
ERR1726923,ERS493526
ERR1726542,ERS487921
ERR868435,ERS487956
ERR1700900,ERS487958
ERR1700908,ERS487958
ERR868389,ERS488021
ERR868448,ERS488048
ERR1700894,ERS488153
ERR1700895,ERS488251
ERR1700896,ERS488412
ERR868418,ERS488515
ERR1700913,ERS488516
ERR868401,ERS488633
ERR868439,ERS488694
ERR868406,ERS488730
ERR868400,ERS488753
ERR1700904,ERS488754
ERR873969,ERS488780
ERR873962,ERS488780
ERR868503,ERS488809
ERR868408,ERS488885
ERR1700899,ERS488886
ERR868455,ERS488952
ERR868468,ERS488952
ERR1700892,ERS489013
ERR1700890,ERS489054
ERR1700912,ERS489079
ERR868391,ERS489451
ERR1726854,ERS489453
ERR868387,ERS490751
ERR868461,ERS490860
ERR1700898,ERS490981
ERR868394,ERS491289
ERR868416,ERS491433
ERR1700901,ERS491478
ERR873961,ERS491757
ERR873966,ERS491757
ERR1700897,ERS491758
ERR1700905,ERS491758
ERR1700903,ERS491887
ERR868457,ERS491922
ERR868506,ERS492212
ERR873963,ERS492393
ERR868405,ERS492516
ERR868475,ERS492651
ERR873959,ERS492686
ERR873968,ERS492686
ERR868425,ERS492708
ERR868469,ERS492740
ERR1726533,ERS492829
ERR868494,ERS492871
ERR868352,ERS492897
ERR868462,ERS493057
ERR868347,ERS493132
ERR1726724,ERS493262
ERR868385,ERS493353
ERR873960,ERS493592
ERR873967,ERS493592
ERR868378,ERS493612
ERR868390,ERS493761
ERR868398,ERS493797
ERR868420,ERS493853
ERR1700891,ERS493999
ERR868509,ERS494087
ERR873965,ERS494105
ERR873964,ERS494131
ERR868451,ERS494164
ERR1726693,ERS494182
ERR868511,ERS494501
ERR868459,ERS494529
ERR1726972,ERS494660
ERR1726791,ERS488262
ERR1726734,ERS489263
ERR1700889,ERS488900
ERR1726721,ERS492763
ERR1700914,ERS488816
ERR1726574,ERS488542
ERR1700906,ERS488820
ERR1700907,ERS488820
ERR1726959,ERS492723
ERR1726903,ERS492909
ERR1700909,ERS489336
ERR1700911,ERS492000
ERR1726538,ERS489187
ERR1726768,ERS493971
ERR1700893,ERS494049
ERR1726737,ERS494055
ERR1700902,ERS494136
ERR1726785,ERS492584
ERR1726528,ERS492254
ERR1726694,ERS492437
ERR1726911,ERS494553
ERR1726779,ERS491522
ERR1726640,ERS493241
ERR1726598,ERS491693
ERR1726648,ERS490774
ERR1726935,ERS493147
ERR1700910,ERS493776
ERR1726530,ERS490841
ERR1726790,ERS491407
ERR1726948,ERS493772
ERR868369,ERS487919
ERR868437,ERS487956
ERR868510,ERS487956
ERR868497,ERS487982
ERR868373,ERS488005
ERR868431,ERS488020
ERR868473,ERS488150
ERR868412,ERS488306
ERR868482,ERS488317
ERR868488,ERS488352
ERR868504,ERS488410
ERR868496,ERS488460
ERR868456,ERS488476
ERR868356,ERS488497
ERR868402,ERS488534
ERR868471,ERS488554
ERR868460,ERS488583
ERR868463,ERS488695
ERR868428,ERS488730
ERR868487,ERS488753
ERR868498,ERS488809
ERR868353,ERS488857
ERR868397,ERS488885
ERR868409,ERS489078
ERR868383,ERS489142
ERR868508,ERS489175
ERR868507,ERS489251
ERR868478,ERS489279
ERR868399,ERS489303
ERR868355,ERS489329
ERR868370,ERS489506
ERR868452,ERS489785
ERR868350,ERS489857
ERR868372,ERS490817
ERR868376,ERS491142
ERR868361,ERS491187
ERR868413,ERS491398
ERR868358,ERS491474
ERR868436,ERS491514
ERR868444,ERS491613
ERR868417,ERS491645
ERR868446,ERS491673
ERR868447,ERS491719
ERR868493,ERS491845
ERR868465,ERS491885
ERR868424,ERS491885
ERR868453,ERS491922
ERR868357,ERS491949
ERR868422,ERS492023
ERR868440,ERS492023
ERR868502,ERS492052
ERR868505,ERS492090
ERR868377,ERS492117
ERR868374,ERS492154
ERR868472,ERS492186
ERR868450,ERS492186
ERR868470,ERS492212
ERR868442,ERS492243
ERR868438,ERS492279
ERR868364,ERS492279
ERR868381,ERS492368
ERR868501,ERS492426
ERR868365,ERS492487
ERR868513,ERS492651
ERR868419,ERS492708
ERR868466,ERS492740
ERR868360,ERS492789
ERR868481,ERS492789
ERR868363,ERS492825
ERR868491,ERS492871
ERR868382,ERS492897
ERR868359,ERS492935
ERR868426,ERS492935
ERR868458,ERS493111
ERR868485,ERS493224
ERR868464,ERS493264
ERR868386,ERS493264
ERR868384,ERS493295
ERR868480,ERS493313
ERR868490,ERS493382
ERR868433,ERS493519
ERR868477,ERS493645
ERR868512,ERS493712
ERR868430,ERS493954
ERR868367,ERS493997
ERR868349,ERS494107
ERR868411,ERS494184
ERR868495,ERS494226
ERR868351,ERS494248
ERR868366,ERS494304
ERR868395,ERS494341
ERR868479,ERS494381
ERR868380,ERS494436
ERR868354,ERS494454
ERR868423,ERS494570
ERR868445,ERS494594
ERR868434,ERS494623
ERR868375,ERS494670
ERR868410,ERS494709
ERR868429,ERS494743
ERR868407,ERS488122
ERR868393,ERS488338
ERR868403,ERS488446
ERR868348,ERS488609
ERR868414,ERS488832
ERR868454,ERS488924
ERR868486,ERS489053
ERR868396,ERS489106
ERR599266,ERS489933
ERR599324,ERS490019
ERR599323,ERS490105
ERR599261,ERS490134
ERR599315,ERS490172
ERR599251,ERS490172
ERR599252,ERS490172
ERR599308,ERS490172
ERR599233,ERS490172
ERR599242,ERS490172
ERR599274,ERS490172
ERR599316,ERS490172
ERR599289,ERS490172
ERR599285,ERS490172
ERR599300,ERS490172
ERR599238,ERS490198
ERR599248,ERS490241
ERR599260,ERS490242
ERR599297,ERS490279
ERR599284,ERS490307
ERR599236,ERS490311
ERR599331,ERS490341
ERR599305,ERS490343
ERR599267,ERS490446
ERR599276,ERS490448
ERR599290,ERS490488
ERR599307,ERS490490
ERR599309,ERS490553
ERR599330,ERS490607
ERR599237,ERS490668
ERR599240,ERS490699
ERR599246,ERS490725
ERR868483,ERS490792
ERR599293,ERS490894
ERR599298,ERS490896
ERR599319,ERS490941
ERR868388,ERS490977
ERR599270,ERS491010
ERR599254,ERS491012
ERR599281,ERS491055
ERR599335,ERS491057
ERR599239,ERS491101
ERR868404,ERS491538
ERR868415,ERS491572
ERR868499,ERS491719
ERR868379,ERS491786
ERR868362,ERS491989
ERR868441,ERS492154
ERR868443,ERS492306
ERR868476,ERS492332
ERR868432,ERS492461
ERR868489,ERS492825
ERR868371,ERS492871
ERR868427,ERS493175
ERR868500,ERS493199
ERR868346,ERS493557
ERR868492,ERS493679
ERR868467,ERS493829
ERR868474,ERS494016
ERR868421,ERS494036
ERR868449,ERS494284
ERR868392,ERS494403
ERR599277,ERS490150
ERR599241,ERS490366
ERR599321,ERS489963
ERR599255,ERS490210
ERR599245,ERS490679
ERR599320,ERS490083
ERR599295,ERS490220
ERR599249,ERS489574
ERR599250,ERS490687
ERR599326,ERS490572
ERR599313,ERS490356
ERR599279,ERS490922
ERR599314,ERS489566
ERR599282,ERS489955
ERR599301,ERS490159
ERR599294,ERS489523
ERR599263,ERS490683
ERR599310,ERS491078
ERR599296,ERS489582
ERR599304,ERS490256
ERR599286,ERS490457
ERR599332,ERS490582
ERR599317,ERS490503
ERR599329,ERS490626
ERR599262,ERS490712
ERR599247,ERS489952
ERR868368,ERS488910
ERR868484,ERS488910
ERR599264,ERS491073
ERR599288,ERS491081
ERR318615,ERS329497
ERR318601,ERS329498
ERR318606,ERS329499
ERR318617,ERS329499
ERR318588,ERS329499
ERR318596,ERS329501
ERR318587,ERS329501
ERR318586,ERS329502
ERR318597,ERS329502
ERR318590,ERS329502
ERR318582,ERS329506
ERR318584,ERS329508
ERR318611,ERS329508
ERR318595,ERS329511
ERR538190,ERS477937
ERR538182,ERS477956
ERR538187,ERS477961
ERR538181,ERS477961
ERR538173,ERS477988
ERR538184,ERS477989
ERR538175,ERS478003
ERR538172,ERS478004
ERR538186,ERS478024
ERR538178,ERS478025
ERR538179,ERS478046
ERR538188,ERS478047
ERR538180,ERS477965
ERR538177,ERS478010
ERR538183,ERS477943
ERR538174,ERS478012
ERR538176,ERS477973
ERR538185,ERS477996
ERR538189,ERS478033
ERR538171,ERS478008
ERR599280,ERS489543
ERR599328,ERS489596
ERR599215,ERS489598
